last_name, first_name,player_id,year,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,batted_ball,f_strike_percent,groundballs_percent,groundballs,flyballs_percent,flyballs,linedrives_percent,linedrives,popups_percent,popups,pop_2b_sba_count,pop_2b_sba,pop_2b_sb,pop_2b_cs,pop_3b_sba_count,pop_3b_sba,pop_3b_sb,pop_3b_cs,exchange_2b_3b_sba,maxeff_arm_2b_3b_sba,n_outs_above_average,n_fieldout_5stars,n_opp_5stars,n_5star_percent,n_fieldout_4stars,n_opp_4stars,n_4star_percent,n_fieldout_3stars,n_opp_3stars,n_3star_percent,n_opp_2stars,n_2star_percent,n_fieldout_2stars,n_1star_percent,n_fieldout_1stars,n_opp_1stars,rel_league_reaction_distance,rel_league_burst_distance,rel_league_routing_distance,rel_league_bootup_distance,f_bootup_distance,n_bolts,hp_to_1b,sprint_speed,
Hernandez, Yonny,660634,2022,82.3,-12.5,22.7,0,0,4.5,9.1,4.5,63.6,18.2,13.6,91.606844,2.365624737,63.6,11.9,23.5,8.3,83.3,1,12,43.6,51,57.1,6,16,70,31,117,83.3,5,42,56.4,66,41.9,49,11.1,46.2,50,22.7,27.3,22,64.3,77.3,17,4.5,1,18.2,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,
Castillo, Diego,660636,2022,89.1,14.6,37.7,19,9.9,8.4,21.5,25.7,32.5,2.1,38.7,98.736440729,5.490571675,57.1,18.3,30.4,42.3,57.7,74,175,50.1,576,68.8,8.4,149,556,439,1149,81,60,327,49.9,573,41,471,26.7,43.7,40.8,36.1,23,191,59.7,41.4,79,34,65,20.4,39,4.2,8,,,,,,,,,,,0,0,6,0.0,0,1,0.0,2,3,66.7,2,100.0,2,100.0,2,2,0.1,-1.8,-0.1,-1.9,31.9,,4.57,27.3,
Brujan, Vidal,660644,2022,86.1,14.2,30.4,3,2.7,2.7,23.2,34.8,34.8,1.8,27.7,96.400896071,4.213595893,71.3,14.1,31.9,34,66,35,103,52.8,323,85.1,7.7,112,337,163,612,85.9,29,206,47.2,289,41.5,254,20.7,50.5,40.2,30.4,29.5,112,60.5,46.4,52,22.3,25,21.4,24,9.8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.28,28.5,
Garcia, Dermis,660650,2022,86.5,12.2,27.9,8,13.1,1.6,16.4,24.6,32.8,11.5,42.6,100.773491613,6.52853623,77.7,32.4,29.4,70.9,29.1,61,86,54.8,293,86.1,6.7,45,236,254,535,67.6,61,188,45.2,242,43.4,232,44.5,51.2,55.7,26.2,18,61,61.6,45.9,28,26.2,16,18,11,9.8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65,27.4,
Acuna Jr., Ronald,660670,2022,91.2,10.8,32.8,44,12.8,6.1,21.8,20.3,32.3,5.8,49.7,103.759318129,8.440064282,73.4,19.6,24.3,39.9,60.1,109,273,52,1124,82.5,7.7,265,1261,630,2162,80.4,149,762,48,1038,42.5,919,24.9,47.9,40.4,39.5,20.1,344,60.8,47.7,164,24.7,85,21.2,73,6.4,22,,,,,,,,,,,-6,0,8,0.0,1,4,25.0,3,7,42.9,13,53.8,7,81.8,9,11,-1.2,-0.9,0.8,-1.3,32,25,4.27,28.5,
Ruiz, Keibert,660688,2022,88,14.9,36.3,13,3.7,7.5,28.8,26.8,28.8,3.2,32.3,97.283247895,4.718755058,72.2,9,31.3,27.5,72.5,69,251,52.1,801,68.5,7.2,298,739,501,1538,91,48,532,47.9,737,41.6,640,14.9,50.9,49.6,34.6,15.9,347,61,40.6,141,25.1,87,28.2,98,6.1,21,43,2,2.01,1.98,3,1.58,1.5,1.63,0.73,79,,,,,,,,,,,,,,,,,,,,,,,4.77,25.3,
Montero, Elehuris,660707,2022,89.8,13.2,34.5,10,8.6,6.9,25.9,27.6,28.4,2.6,39.7,100.524698276,6.381819741,70,21.7,35.9,60.3,39.7,76,126,52.1,351,71.9,9.5,82,314,278,674,78.3,49,226,47.9,323,37.2,251,35.5,52.2,37.9,47.4,14.7,116,71.9,36.2,42,28.4,33,28.4,33,6.9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66,26.9,
Gonzalez, Oscar,660757,2022,88.6,5.4,32.5,21,7.3,4.8,28.4,18.3,36.3,4.2,40.1,101.045260903,6.682138153,74.3,17.9,46.5,38.6,61.4,137,355,54.2,763,76.3,6.6,131,696,581,1409,82.1,86,480,45.8,646,41.7,588,26.7,59.3,38.8,39.8,21.5,289,68.2,49.8,144,18.3,53,26.6,77,5.2,15,,,,,,,,,,,-5,0,14,0.0,1,3,33.3,2,7,28.6,17,88.2,15,90.9,10,11,0.2,-1.1,-0.5,-1.4,31.8,2,4.35,28.9,
Yepez, Juan,660766,2022,86.5,17.1,33.2,18,9.2,5.6,17.3,33.2,28.6,6.1,33.7,98.66909102,5.337373827,73.6,16.3,37.1,43.8,56.2,88,201,52.4,542,87.1,8.2,118,559,353,1035,83.7,59,363,47.6,493,39.9,413,26.1,54.5,42.9,37.2,19.9,196,65.3,37.8,74,31.1,61,19.9,39,11.2,22,,,,,,,,,,,-8,0,5,0.0,0,2,0.0,0,4,0.0,2,0.0,0,83.3,5,6,-1.3,-5.2,0.4,-6.2,25.7,,4.66,26.8,
Sanchez, Jesus,660821,2022,89.5,11,25.7,22,9.9,3.2,21.2,25.7,35.1,5,40.5,101.710457117,7.181364706,66.7,18.8,32.5,47.6,52.4,119,250,55.3,769,79.2,7.6,161,767,460,1391,81,78,415,44.7,622,42.6,592,29.6,47.8,41.9,30.6,27.5,222,59.8,46.8,104,26.6,59,19.4,43,7.2,16,,,,,,,,,,,-2,0,11,0.0,0,4,0.0,9,12,75.0,14,71.4,10,100.0,8,8,-0.2,0.2,0.4,0.4,34.7,,4.48,27.3,
Park, Hoy,660829,2022,85.1,10.3,20,4,10,0,25,22.5,30,12.5,25,96.311552105,4.268094324,59.1,16.2,19.7,33.3,66.7,8,24,51.5,122,80,6.3,34,141,57,237,82.4,11,68,48.5,115,44.7,106,20.7,38.8,35,35,30,40,61.7,55,22,32.5,13,10,4,2.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,27.6,
Contreras, William,661388,2022,90.4,6.1,31.9,31,13.4,4.7,24.6,15.5,37.1,4.3,46.6,102.334962328,7.58762026,62.8,25.8,28.8,50.2,49.8,120,239,53.6,829,74.7,6.1,150,815,579,1546,74.2,116,450,46.4,717,41.3,639,34.3,44.6,36.6,41.8,21.6,232,61.9,53.4,124,24.6,57,18.5,43,3.4,8,18,1.97,1.95,2.1,2,1.52,1.5,1.53,0.72,81.9,,,,,,,,,,,,,,,,,,,,,,,4.51,27.0,
Serven, Brian,661531,2022,84.5,12.5,32.9,4,2.7,4.1,26.7,24,33.6,8.2,29.5,96.245205139,4.177853427,72.7,21.1,36.9,38.9,61.1,58,149,50.8,404,73.5,6.2,84,458,249,796,78.9,60,285,49.2,392,43.2,344,27.2,54.5,39.7,37.7,22.6,146,64.4,45.2,66,18.5,27,26,38,10.3,15,27,2,2.02,1.94,5,1.54,1.58,1.49,0.77,81.6,,,,,,,,,,,,,,,,,,,,,,,4.52,26.5,
Varsho, Daulton,662139,2022,87.7,14.9,33.6,40,10.2,8.4,16.8,26,30.3,7.1,35.6,99.211725904,5.6867316,69.1,20.6,30.5,36.5,61.5,124,340,48,1114,78.1,6.9,370,1202,746,2321,78.2,172,834,52,1207,43.9,1019,25.2,50.6,50.9,32.1,17,393,62.8,42.7,168,29.8,117,19.6,77,7.9,31,11,1.97,1.98,1.96,0,,,,0.69,78.6,17,6,25,24.0,9,13,69.2,19,19,100.0,17,88.2,15,95.0,19,20,1.2,2.3,0.3,3.7,37.4,,4.28,28.0,
